21770,12978
2910,31334
24776,50396
6851,12705
50046,44678
25375,52461
23708,20480
5928,37692
37490,24554
8637,62431
44486,33438
9541,12887
18072,2348
11955,64785
32306,2730
9480,40476
1105,62211
49506,10074
41821,41855
21434,18914
39746,6714
48037,52407
11889,52259
21326,36822
13195,63481
5569,6131
32768,1348
52822,2990
59098,53250
27457,15987
41309,42367
48195,44577
63044,51320
49918,43270
14722,61050
21826,32826
55773,12031
13574,12510
61554,61930
4435,11185
45201,14147
7212,22544
39950,406
30315,985
39011,12097
25406,12102
15838,55782
34674,30954
57753,40411
10807,27765
13582,29334
48592,38292
30442,146
5652,4296
20458,26002
52005,25911
46040,58732
52412,56864
37662,10278
22995,59185
49621,61031
14051,50881
6924,59120
54464,33284
44776,58364
35214,29718
65464,45388
31153,48995
46387,23697
49674,64434
1238,50478
12779,30809
47290,42722
13315,56289
3818,14482
55045,32535
17573,38327
63910,25470
14009,61947
38979,16929
22950,33662
61187,47841
27524,56760
3835,56041
53183,25741
19821,56847
30224,37332
9080,30732
6657,1843
24987,64137
23446,7918
8303,6589
50474,45266
42115,52577
16049,41059
31010,9498
40425,8107
31664,53364
10229,14983
39525,26999
36580,39192
30552,16364
21153,39379
40504,53452
55065,5211
42107,17257
51183,45629
9402,6882
4352,49732
24132,53368
64942,29238
28940,45296
4244,10824
18242,11834
20886,22766
42070,54702
63897,54747
23539,23633
62257,25571
48710,13342
47787,2841
54463,397
19459,37857
58530,5530
58839,26645
62726,61662
55601,24035
23670,21966
9905,18531
6612,50568
32599,47253
20963,33217
40180,48808
12529,37283
29931,7001
53975,27925
36195,37953
55686,7262
57490,45066
48018,61194
36410,12642
28505,47003
13715,11505
62025,26379
44091,34857
42112,18116
64353,18579
48249,7867
23166,7558
65095,43781
43470,32086
17526,40398
22089,4875
35207,27461
24681,57131
3660,35376
38229,42215
39294,6278
7867,6569
56534,48430
60289,59315
5073,41347
53904,18772
12482,52410
36607,45517
27048,33468
16815,18173
40644,26104
63867,33897
53238,33358
64927,10349
50118,31902
24453,63639
20073,28971
43562,11730
12063,33005
14991,44253
3158,15790
17029,3991
42244,33848
41823,61485
26602,32146
12348,42144
50090,29266
40080,28500
17086,30662
25608,9500
55040,19524
17074,64042
47860,41128
63467,57945
4940,40752
52741,3607
32451,28065
42190,10326
64859,18505
17673,13259
21104,24372
62148,8696
54486,62766
21790,26150
27834,8930
53501,1311
29545,46635
24524,43184
36586,47250
35704,32780
63447,26133
49008,44084
42227,39249
61597,23999
29128,41436
48594,57418
58894,63382
37619,39761
46263,34805
9914,39138
